fair           : 9
front          : 9
easting        : 9
Kanaka         : 9
observation    : 9
achievement    : 9
chickens       : 9
bring          : 9
arose          : 9
edge           : 9
dark           : 9
hills          : 9
harbour        : 9
heavy          : 9
spot           : 9
already        : 9
flesh          : 9
heels          : 9
latter         : 9
Board          : 9
dysentery      : 9
natural        : 9
flag           : 9
clothes        : 9
result         : 8
walked         : 8
Bay            : 8
journey        : 8
variables      : 8
star           : 8
thrust         : 8
forth          : 8
Me             : 8
paddles        : 8
OR             : 8
Oh             : 8
remain         : 8
eye            : 8
fought         : 8
study          : 8
attacks        : 8
piece          : 8
rushing        : 8
force          : 8
wait           : 8
laid           : 8
thesea         : 8
swim           : 8
vegetables     : 8
Only           : 8
dolphin        : 8
Raiatea        : 8
breakfast      : 8
breakers       : 8
points         : 8
medicine       : 8
stopped        : 8
doldrums       : 8
steered        : 8
floor          : 8
October        : 8
height         : 8
net            : 8
decided        : 8
mystery        : 8
slopes         : 8
literal        : 8
turning        : 8
pretty         : 8
pull           : 8
Another        : 8
wife           : 8
cool           : 8
yellow         : 8
wire           : 8
Leprosy        : 8
Waikiki        : 8
knowledge      : 8
happen         : 8
taro           : 8
health         : 8
abundance      : 8
Taiohae        : 8
wonder         : 8
Out            : 8
Furthermore    : 8
finish         : 8
dust           : 8
boom           : 8
mouth          : 8
beauty         : 8
change         : 8
higher         : 8
blows          : 8
start          : 8
build          : 8
Johnny         : 8
overboard      : 8
Pacific        : 8
instead        : 8
leaps          : 8
agreed         : 8
double         : 8
gale           : 8
gari           : 8
feeling        : 8
apart          : 8
examination    : 8
depth          : 8
smoke          : 8
Therefore      : 8
thus           : 8
cutter         : 8
whether        : 8
welcome        : 8
happy          : 8
pointed        : 8
real           : 8
cloth          : 8
missed         : 8
directly       : 8
especially     : 8
nights         : 8
reach          : 8
person         : 8
unable         : 8
Fiji           : 8
catching       : 8
trouble        : 8
country        : 8
Health         : 8
standing       : 8
fathoms        : 8
heave          : 8
trader         : 8
age            : 8
mighty         : 8
expense        : 8
mother         : 8
drowned        : 8
marster        : 8
Next           : 8
pick           : 7
D              : 7
roll           : 7
cow            : 7
plenty         : 7
Their          : 7
abreast        : 7
ninety         : 7
bodies         : 7
forgotten      : 7
inconceivable  : 7
knots          : 7
lying          : 7
bearing        : 7
China          : 7
themselves     : 7
immediately    : 7
logical        : 7
loose          : 7
Warren         : 7
grow           : 7
language       : 7
placed         : 7
likely         : 7
faster         : 7
Eugenie        : 7
re             : 7
correct        : 7
heaven         : 7
million        : 7
school         : 7
early          : 7
captains       : 7
bent           : 7
rush           : 7
city           : 7
worth          : 7
shifted        : 7
delicious      : 7
Skipper        : 7
party          : 7
drink          : 7
liable         : 7
Cook           : 7
experience     : 7
Line           : 7
darkness       : 7
songs          : 7
bonitas        : 7
search         : 7
presents       : 7
blew           : 7
Marquesans     : 7
pae            : 7
slowly         : 7
followed       : 7
continually    : 7
turtle         : 7
caused         : 7
sorts          : 7
sails          : 7
escaped        : 7
ulcers         : 7
shoulders      : 7
fruits         : 7
born           : 7
kind           : 7
spread         : 7
dancing        : 7
staysail       : 7
really         : 7
opposite       : 7
possible       : 7
feast          : 7
University     : 7
Sun            : 7
Time           : 7
rushed         : 7
Where          : 7
GUTENBERG      : 7
sharp          : 7
naked          : 7
farther        : 7
quickly        : 7
portion        : 7
wet            : 7
astern         : 7
win            : 7
won            : 7
hear           : 7
splendid       : 7
hundreds       : 7
seem           : 7
compelled      : 7
PROJECT        : 7
thin           : 7
beyond         : 7
brain          : 7
hers           : 7
namely         : 7
American       : 7
busy           : 7
yaw            : 7
difficult      : 7
forget         : 7
Portuguese     : 7
